,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,SusceptibleX,admission,discharge,transfer_in,transfer_out
337,7/14/1962,INTUnit4,5,4,0,0,4,0,3,6,0
338,7/15/1962,INTUnit4,7,5,0,0,5,6,0,0,2
339,7/16/1962,INTUnit4,7,9,0,0,9,4,5,2,0
340,7/17/1962,INTUnit4,6,11,0,0,11,6,6,0,0
341,7/18/1962,INTUnit4,8,9,0,0,9,6,6,1,0
342,7/19/1962,INTUnit4,9,9,0,0,9,7,6,0,5
343,7/20/1962,INTUnit4,5,9,0,0,9,2,6,0,1
344,7/21/1962,INTUnit4,2,7,0,0,7,1,1,5,0
345,7/22/1962,INTUnit4,6,8,0,0,8,6,3,0,1
346,7/23/1962,INTUnit4,7,9,0,0,9,5,5,2,0
347,7/24/1962,INTUnit4,5,13,0,0,13,7,7,0,0
348,7/25/1962,INTUnit4,5,13,0,0,13,7,4,0,1
349,7/26/1962,INTUnit4,5,15,0,0,15,6,7,0,5
350,7/27/1962,INTUnit4,3,11,0,0,11,1,4,0,0
351,7/28/1962,INTUnit4,3,8,0,0,8,1,3,4,0
352,7/29/1962,INTUnit4,4,9,0,0,9,5,2,6,0
353,7/30/1962,INTUnit4,7,15,0,0,15,11,4,0,3
354,7/31/1962,INTUnit4,7,19,0,0,19,8,8,0,3
355,8/1/1962,INTUnit4,7,16,0,0,16,5,6,3,0
356,8/2/1962,INTUnit4,12,13,0,0,13,8,7,0,7
357,8/3/1962,INTUnit4,10,9,0,0,9,1,5,2,0
358,8/4/1962,INTUnit4,4,13,0,0,13,3,3,4,0
359,8/5/1962,INTUnit4,7,14,0,0,14,7,5,1,0
360,8/6/1962,INTUnit4,9,15,0,0,15,8,5,0,4
361,8/7/1962,INTUnit4,8,15,0,0,15,4,7,0,2
362,8/8/1962,INTUnit4,6,12,0,0,12,2,8,5,0
363,8/9/1962,INTUnit4,9,6,2,0,6,7,2,0,7
364,8/10/1962,INTUnit4,6,7,2,0,7,0,6,0,0
